"","gameId","playId","playDescription","quarter","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain"
"1",2018091602,1861,"(:02) M.Crosby 37 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",2,"GB",1,1,32386,"00:02:00",37,14,7,7,1802
"2",2018091602,2311,"(6:36) M.Crosby 40 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",3,"GB",1,1,32386,"06:36:00",40,17,7,10,1296
"3",2018091602,3066,"(7:38) M.Crosby 31 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",4,"GB",1,1,32386,"07:38:00",31,20,14,6,458
"4",2018091602,3483,"(2:17) M.Crosby 48 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",4,"GB",1,1,32386,"02:17:00",48,23,21,2,137
"5",2018091602,3648,"(1:49) M.Crosby 36 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott. Penalty on MIN-J.Johnson, Illegal Formation, declined.",4,"GB",1,1,32386,"01:49:00",36,26,21,5,109
"6",2018091602,4088,"(:03) M.Crosby 52 yard field goal is No Good, Wide Left, Center-H.Bradley, Holder-J.Scott.",4,"GB",1,0,32386,"00:03:00",52,29,29,0,3
"7",2018092309,1145,"(12:56) M.Crosby 41 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",2,"GB",0,1,32386,"12:56:00",41,14,0,14,2576
"8",2018093003,2000,"(:03) M.Crosby 52 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",2,"GB",1,1,32386,"00:03:00",52,13,0,13,1803
"9",2018093003,2256,"(11:17) M.Crosby 36 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",3,"GB",1,1,32386,"11:17:00",36,16,0,16,1577
"10",2018093003,3781,"(2:00) M.Crosby 52 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",4,"GB",1,1,32386,"02:00:00",52,19,0,19,120
"11",2018100704,834,"(3:26) M.Crosby 41 yard field goal is No Good, Wide Left, Center-H.Bradley, Holder-J.Scott.",1,"GB",0,0,32386,"03:26:00",41,7,0,7,2906
"12",2018100704,1404,"(11:22) M.Crosby 42 yard field goal is No Good, Hit Right Upright, Center-H.Bradley, Holder-J.Scott.",2,"GB",0,0,32386,"11:22:00",42,17,0,17,2482
"13",2018100704,1791,"(3:38) M.Crosby 38 yard field goal is No Good, Wide Right, Center-H.Bradley, Holder-J.Scott.",2,"GB",0,0,32386,"03:38:00",38,17,0,17,2018
"14",2018100704,4187,"(3:40) M.Crosby 56 yard field goal is No Good, Wide Right, Center-H.Bradley, Holder-J.Scott.",4,"GB",0,0,32386,"03:40:00",56,31,20,11,220
