"","gameId","playId","playDescription","quarter","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain"
"1",2018090910,2008,"(:07) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"00:07:00",27,7,0,7,1807
"2",2018092302,3722,"(1:16) G.Gano 40 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",4,"CAR",1,1,35102,"01:16:00",40,28,21,7,76
"3",2018100701,1338,"(8:50) G.Gano 47 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"08:50:00",47,14,3,11,2330
"4",2018100701,1716,"(2:41) G.Gano 47 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"02:41:00",47,17,10,7,1961
"5",2018100701,3888,"(2:21) G.Gano 39 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",4,"CAR",1,1,35102,"02:21:00",39,27,24,3,141
"6",2018100701,4262,"(:06) G.Gano 63 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",4,"CAR",1,1,35102,"00:06:00",63,30,31,-1,6
"7",2018101408,2653,"(5:12) G.Gano 32 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",3,"CAR",0,1,35102,"05:12:00",32,17,6,11,1212
"8",2018102801,2134,"(:02) G.Gano 54 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"00:02:00",54,21,7,14,1802
"9",2018102801,2846,"(3:03) G.Gano 44 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",3,"CAR",1,1,35102,"03:03:00",44,24,7,17,1083
"10",2018102801,3801,"(3:14) G.Gano 30 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",4,"CAR",1,1,35102,"03:14:00",30,33,14,19,194
"11",2018111803,2229,"(9:16) G.Gano 34 yard field goal is No Good, Hit Left Upright, Center-J.Jansen, Holder-M.Palardy.",3,"CAR",0,0,35102,"09:16:00",34,10,7,3,1456
"12",2018112502,678,"(2:15) G.Gano 26 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",1,"CAR",1,1,35102,"02:15:00",26,0,0,0,2835
"13",2018112502,1885,"(:01) G.Gano 25 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,"CAR",1,1,35102,"00:01:00",25,10,10,0,1801
"14",2018112502,3837,"(1:45) G.Gano 52 yard field goal is No Good, Wide Right, Center-J.Jansen, Holder-M.Palardy.",4,"CAR",1,0,35102,"01:45:00",52,27,27,0,105
"15",2018120209,2075,"(11:02) G.Gano 37 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",3,"CAR",0,1,35102,"11:02:00",37,17,7,10,1562
"16",2020091400,337,"(10:37) G.Gano 21 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",1,"NYG",1,1,35102,"10:37:00",21,0,0,0,3337
"17",2020092000,1858,"(:03) G.Gano 57 yard field goal is No Good, Wide Left, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,0,35102,"00:03:00",57,17,0,17,1803
"18",2020092000,2172,"(9:54) G.Gano 39 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",3,"NYG",0,1,35102,"09:54:00",39,17,0,17,1494
"19",2020092000,3336,"(7:47) G.Gano 37 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",0,1,35102,"07:47:00",37,17,10,7,467
"20",2020092705,935,"(13:35) G.Gano 52 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",1,1,35102,"13:35:00",52,0,6,-6,2615
"21",2020092705,1356,"(7:30) G.Gano 42 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",1,1,35102,"07:30:00",42,3,6,-3,2250
"22",2020092705,2433,"(8:11) G.Gano 47 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",3,"NYG",1,1,35102,"08:11:00",47,6,16,-10,1391
"23",2020100410,822,"(14:55) G.Gano 35 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"14:55:00",35,7,0,7,2695
"24",2020100410,1764,"(:04) G.Gano 37 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"00:04:00",37,10,3,7,1804
"25",2020100410,2680,"(14:15) G.Gano 27 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",0,1,35102,"14:15:00",27,10,6,4,855
"26",2020101111,1090,"(13:35) G.Gano 55 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"13:35:00",55,3,14,-11,2615
"27",2020101111,1954,"(:56) G.Gano 50 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"00:56:00",50,17,17,0,1856
"28",2020101804,583,"(3:27) G.Gano 33 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",1,"NYG",1,1,35102,"03:27:00",33,0,0,0,2907
"29",2020101804,1251,"(6:18) G.Gano 20 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",1,1,35102,"06:18:00",20,10,3,7,2178
"30",2020110200,3095,"(:19) G.Gano 33 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",3,"NYG",1,1,35102,"00:19:00",33,14,15,-1,919
"31",2020110807,428,"(9:40) G.Gano 38 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",1,"NYG",0,1,35102,"09:40:00",38,0,0,0,3280
"32",2020110807,1595,"(9:28) G.Gano 48 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"09:28:00",48,3,10,-7,2368
"33",2020110807,2831,"(5:16) G.Gano 42 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",3,"NYG",0,1,35102,"05:16:00",42,10,20,-10,1216
"34",2020111504,3616,"(7:49) G.Gano 35 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",1,1,35102,"07:49:00",35,21,17,4,469
"35",2020111504,3996,"(3:11) G.Gano 44 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",1,1,35102,"03:11:00",44,24,17,7,191
"36",2020112902,1831,"(:26) G.Gano 49 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",2,"NYG",0,1,35102,"00:26:00",49,10,7,3,1826
"37",2020112902,2247,"(8:10) G.Gano 40 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",3,"NYG",0,1,35102,"08:10:00",40,10,10,0,1390
"38",2020112902,2871,"(11:40) G.Gano 39 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",0,1,35102,"11:40:00",39,10,13,-3,700
"39",2020112902,3400,"(3:58) G.Gano 32 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",0,1,35102,"03:58:00",32,10,16,-6,238
"40",2020120609,3315,"(9:55) G.Gano 48 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",4,"NYG",0,1,35102,"09:55:00",48,5,14,-9,595
"41",2020122009,662,"(4:17) G.Gano 37 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",1,"NYG",1,1,35102,"04:17:00",37,0,0,0,2957
