"","gameId","playId","playDescription","quarter","possessionTeam","Home","Result","kickerId","gameClock","kickLength","preSnapHomeScore","preSnapVisitorScore","scoreDifference","secondsRemain"
"1",2018091603,755,"(2:52) W.Lutz 31 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",1,"NO",1,1,43689,"02:52:00",31,0,3,-3,2872
"2",2018091603,4023,"(:26) W.Lutz 44 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",1,1,43689,"00:26:00",44,18,18,0,26
"3",2018092300,1308,"(9:43) W.Lutz 49 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead. Kick hit left upright and went through.",2,"NO",0,1,43689,"09:43:00",49,7,7,0,2383
"4",2018092300,1715,"(3:09) W.Lutz 21 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"03:09:00",21,7,10,-3,1989
"5",2018092300,2159,"(:10) W.Lutz 45 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"00:10:00",45,14,13,1,1810
"6",2018093011,856,"(15:00) W.Lutz 42 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"15:00:00",42,7,0,7,2700
"7",2018093011,1328,"(7:23) W.Lutz 34 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"07:23:00",34,7,3,4,2243
"8",2018093011,1662,"(3:40) W.Lutz 37 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"03:40:00",37,7,6,1,2020
"9",2018093011,1985,"(:15) W.Lutz 26 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"00:15:00",26,7,9,-2,1815
"10",2018100800,3433,"(14:15) W.Lutz 44 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",1,1,43689,"14:15:00",44,40,13,27,855
"11",2018102101,3895,"(2:15) (Field Goal formation) W.Lutz 39 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",0,1,43689,"02:15:00",39,17,21,-4,135
"12",2018102811,1299,"(7:32) W.Lutz 52 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",0,1,43689,"07:32:00",52,13,7,6,2252
"13",2018102811,2317,"(8:22) W.Lutz 42 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",3,"NO",0,1,43689,"08:22:00",42,13,17,-4,1402
"14",2018102811,3052,"(9:39) W.Lutz 42 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",0,1,43689,"09:39:00",42,13,27,-14,579
"15",2018110409,3729,"(6:28) W.Lutz 54 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",1,1,43689,"06:28:00",54,35,35,0,388
"16",2018111101,2296,"(9:08) W.Lutz 29 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",3,"NO",0,1,43689,"09:08:00",29,7,35,-28,1448
"17",2018111101,3015,"(11:25) W.Lutz 42 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",0,1,43689,"11:25:00",42,7,45,-38,685
"18",2018111101,3242,"(7:22) W.Lutz 41 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",4,"NO",0,1,43689,"07:22:00",41,7,48,-41,442
"19",2018111809,350,"(9:16) W.Lutz 38 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",1,"NO",1,1,43689,"09:16:00",38,0,0,0,3256
"20",2018112202,1245,"(9:12) W.Lutz 22 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",2,"NO",1,1,43689,"09:12:00",22,7,3,4,2352
"21",2018112900,2269,"(10:03) (Field Goal formation) W.Lutz 33 yard field goal is GOOD, Center-Z.Wood, Holder-T.Morstead.",3,"NO",0,1,43689,"10:03:00",33,13,0,13,1503
